lat,long
-3.127136, -59.976532
-3.127136, -60.005449
-3.124534, -59.983680
-3.109268, -60.050855
-3.134529, -59.939913
-3.0946005833333334, -59.948348777777774
-3.08023025, -60.051904611111105
-3.0765505, -60.053160999999996
-3.0682974722222225, -59.94577422222222
-3.0682974722222225, -59.94577422222222
-3.080277777777778, -60.051944444444445
-3.104166666666667, -60.065555555555555
-3.0802311944444445, -60.051936999999995
-3.08023025, -60.051904611111105
-3.08023025, -60.051904611111105
-3.0820539, -59.8802813
-3.0820539, -59.8802813
-3.080277777777778, -60.051944444444445
-3.080277777777778, -60.051944444444445
-3.08, -60.051944444444445
-3.08023025, -60.051904611111105
-3.08023025, -60.051904611111105
-3.08023025, -60.051904611111105
-3.0765505, -60.053160999999996
-3.08023025, -60.051904611111105
-3.0682974722222225, -59.94577422222222
-3.0682974722222225, -59.94577422222222
-3.08, -60.05166666666666
-3.080277777777778, -60.051944444444445
-3.104166666666667, -60.065555555555555
-3.0802311944444445, -60.051936999999995
-3.0802311944444445, -60.051936999999995
-3.08023025, -60.051904611111105
-3.08023025, -60.051904611111105
-3.0820539, -59.8802813
-3.0820539, -59.8802813
-3.112777777777778, -60.04388888888889
-3.080277777777778, -60.051944444444445
-3.080277777777778, -60.051944444444445
-3.080277777777778, -60.051944444444445
-3.08, -60.051944444444445
-3.08023025, -60.051904611111105
-3.1044444444444443, -60.06583333333333
-3.08023025, -60.051904611111105
-3.08, -60.05166666666666
-3.08023025, -60.051904611111105
-3.08023025, -60.051904611111105
-3.0682974722222225, -59.94577422222222
-3.0682974722222225, -59.94577422222222
-3.08, -60.05166666666666
-3.080277777777778, -60.051944444444445
-3.104166666666667, -60.065555555555555
-3.0802311944444445, -60.051936999999995
-3.0802311944444445, -60.051936999999995
-3.08023025, -60.051904611111105
-3.08023025, -60.051904611111105
-3.0820539, -59.8802813
-3.0820539, -59.8802813
-3.112777777777778, -60.04388888888889
-3.080277777777778, -60.051944444444445
-3.080277777777778, -60.051944444444445
-3.080277777777778, -60.051944444444445
-3.08, -60.051944444444445
-3.08023025, -60.051904611111105
-3.08023025, -60.051904611111105
-3.08, -60.05166666666666
